"system_id","section_id","section_name","section_order","ph_range","microbe_focus","function","feed_flow","teaching_note","species_examples"
"ruminant","esophagus","Esophagus",1,"Neutral transit","There is no true fermentation here; the esophagus is a transport tube that can also return cud to the mouth.","Moves swallowed forage into the reticulorumen and returns cud during rumination.","Fresh forage is swallowed toward the forestomachs, then partially fermented material can travel back up for rechewing.","Bidirectional movement in the esophagus is what makes cud chewing possible.","cattle|sheep|goat"
"ruminant","rumen","Rumen",2,"5.8-6.8","Billions of bacteria, protozoa, and fungi ferment cellulose and hemicellulose into volatile fatty acids.","Largest fermentation chamber where microbes unlock energy from fibrous plants.","Feed enters the rumen after swallowing, mixes with saliva, and stays long enough for extensive microbial breakdown.","This is the main engine that lets cattle, sheep, and goats turn grass and browse into usable energy.","cattle|sheep|goat"
"ruminant","reticulum","Reticulum",3,"6.0-6.8","Microbes continue fermentation while the reticulum sorts heavy versus lighter particles.","Honeycomb sorting chamber that traps dense material and helps initiate cud chewing.","Partly fermented feed cycles between rumen and reticulum before being regurgitated and chewed again.","The reticulum is the traffic controller for rumination because it helps decide what should be rechewed.","cattle|sheep|goat"
"ruminant","omasum","Omasum",4,"5.5-6.0","Little new fermentation occurs here; folds squeeze feed and reclaim water and leftover nutrients.","Absorbs water, electrolytes, and remaining volatile fatty acids while reducing particle size.","Feed leaves the reticulorumen and passes through many folds that limit water loss before true gastric digestion.","The omasum shows how ruminants salvage water and nutrients before acid digestion begins.","cattle|sheep|goat"
"ruminant","abomasum","Abomasum",5,"2.5-3.5","Host acid and enzymes replace most fermentation at this point.","True stomach that digests microbes and feed proteins with acid and enzymes.","Concentrated feed slurry exits the omasum and enters acidic digestion before the small intestine.","Ruminants still rely on a classic acidic stomach, but only after microbial preprocessing.","cattle|sheep|goat"
"ruminant","small_intestine","Small intestine",6,"6.0-7.4","Host enzymes dominate here; fermentation is no longer the main digestive force.","Major site for absorbing amino acids, sugars, lipids, minerals, and vitamins after foregut digestion.","Acidic digesta is neutralized and mixed with bile and pancreatic secretions before nutrients cross villi into the body.","This is where products from both microbial digestion and the animal's own enzymes are finally absorbed.","cattle|sheep|goat"
"ruminant","large_intestine","Large intestine",7,"6.0-7.0","Hindgut microbes ferment leftovers, but far less intensely than the rumen community.","Reabsorbs water and compacts waste before excretion.","Undigested residues pass into the cecum and colon, where water is removed before manure formation.","Ruminants still use the hindgut, but most fiber processing already happened upstream in the rumen.","cattle|sheep|goat"
"monogastric","mouth","Mouth",1,"Near neutral","Almost no fermentation happens here; saliva mostly lubricates feed and begins minor chemical breakdown.","Chews feed into smaller particles and mixes it with saliva before swallowing.","Teeth grind the diet to increase surface area before the bolus enters the esophagus.","Mechanical breakdown matters because pigs do not have a rumen to rescue large fibrous particles later.","pig"
"monogastric","esophagus","Esophagus",2,"Neutral transit","No resident foregut fermentation occurs here; peristalsis simply moves the bolus toward the stomach.","Transfers swallowed feed from the mouth to the stomach.","The bolus is pushed by coordinated muscle contractions directly into the stomach.","Unlike ruminants, pigs do not regurgitate cud through the esophagus.","pig"
"monogastric","stomach","Stomach",3,"1.5-2.5","Pigs rely on host acid and enzymes rather than foregut microbes.","Stores feed, acidifies it, and starts protein digestion with pepsin.","The bolus enters the stomach, mixes with mucus, acid, and enzymes, and leaves as fluid chyme.","The pig stomach resembles the human stomach, which helps explain pigs' value in biomedical research.","pig"
"monogastric","duodenum","Duodenum",4,"5.5-6.5","Host enzymes and bile dominate digestion here rather than microbial fermentation.","Receives pancreatic enzymes, bicarbonate, and bile to digest fats, proteins, and carbohydrates.","Acidic chyme leaves the stomach and is buffered before intensive enzymatic digestion begins.","This is where pancreas and liver secretions transform acidic chyme into absorbable nutrients.","pig"
"monogastric","jejunum_ileum","Jejunum and ileum",5,"6.0-7.4","Brush-border enzymes finish digestion while villi and microvilli absorb nutrients.","Main site of nutrient absorption for sugars, amino acids, fatty acids, and many vitamins.","Digesta moves through long intestinal coils lined with villi that greatly increase absorptive area.","Fast absorption here helps pigs grow efficiently on concentrate-based diets.","pig"
"monogastric","large_intestine","Large intestine",6,"6.0-7.0","Hindgut microbes ferment leftover fiber, but much less than in a rumen.","Absorbs water and completes limited microbial fermentation in the cecum and colon.","Undigested material moves into the cecum and colon, where water is reclaimed before excretion.","Pigs can use some fiber through hindgut fermentation, but not enough to rival ruminants on rough forage.","pig"
