"breed_id","species_id","breed_name","origin_region","origin_country","origin_lat","origin_lng","primary_purpose","climate_adaptability","historical_usage","overview","genetic_fact","image_file"
"cattle_holstein","cattle","Holstein","Northwestern Europe","Netherlands",52.1326,5.2913,"Dairy","Cold hardy","Modern dairy specialization","High-milk dairy breed selected for yield, udder conformation, and intensive production systems.","DGAT1 and related milk-fat loci help explain major differences in milk yield and composition among dairy cattle.","Holstein cow.jpg"
"cattle_hereford","cattle","Hereford","British Isles","United Kingdom",52.3555,-1.1743,"Meat","Cold hardy","Beef production and range systems","Hardy beef breed valued for forage use, maternal ability, and calm temperament.","Selection around MSTN and other growth loci influences muscling and carcass traits in beef cattle.","Hereford cow.jpg"
"cattle_brahman","cattle","Brahman","South Asia to the Americas","India",20.5937,78.9629,"Draft","Heat tolerant","Draft power and tropical beef systems","Brahman cattle carry indicine ancestry that supports heat tolerance, parasite resilience, and work in hot climates.","Genomic regions near slick-hair and thermotolerance pathways help cattle cope with heat stress.","Brahman cow.jpg"
"sheep_merino","sheep","Merino","Iberia","Spain",40.4637,-3.7492,"Fiber/Wool","Heat tolerant","Fine wool and dryland sheep systems","Merino sheep are famous for fine wool and strong adaptation to seasonal grazing systems.","The FecB gene is famous for increasing ovulation rate in some sheep lineages, while fleece traits map to keratin and follicle genes.","Merino sheep.webp"
"sheep_rambouillet","sheep","Rambouillet","Western Europe","France",48.6437,1.8299,"Fiber/Wool","Cold hardy","Fine wool and dual-purpose flocks","Rambouillet sheep combine wool production with larger body size and adaptability to colder environments.","Selection on wool density and body size loci makes Rambouillet useful for comparing fiber and meat breeding goals.","rambouillet sheep.jpg"
"sheep_dorset","sheep","Dorset","British Isles","United Kingdom",50.7488,-2.3445,"Meat","Cold hardy","Meat production and out-of-season lambing","Dorset sheep are valued for meat and their ability to breed outside the usual seasonal cycle.","Reproductive seasonality genes make Dorset lines interesting for studying fertility management.","dorset sheep.jpeg"
"sheep_gotland","sheep","Gotland sheep","Gotland, Baltic Sea","Sweden",57.6348,18.2948,"Fiber/Wool","Cold hardy","Pelt and wool production, seasonal grazing, and Nordic heritage flocks","Gotland sheep are a Swedish native breed from Gotland, locally associated with the name palsfar. They are closely tied to Nordic short-tailed sheep history and are especially valued for curly, glossy gray fleeces and high-quality pelts. Lambs are born dark and usually lighten into silvery gray shades as they mature, while the adults keep a darker head and legs.","Gotland sheep connect breed history, regional identity, and fleece selection: Viking-era trade in wool and skins, pelt quality at market age, and the dual structure of coarse outer fibers with soft underwool make them a strong teaching example for how humans shape sheep toward both beauty and utility.","Gotland sheep.jpg"
"goat_saanen","goat","Saanen","Alpine Europe","Switzerland",46.8182,8.2275,"Dairy","Cold hardy","Dairy goat systems","Saanen goats are globally important for dairy production and calm milking behavior.","Casein gene variants influence milk composition and dairy processing traits in goats.","saanen goat.jpeg"
"goat_boer","goat","Boer","Southern Africa","South Africa",-30.5595,22.9375,"Meat","Heat tolerant","Meat production in dry landscapes","Boer goats grow quickly and perform well in hot, extensive systems where browsing is valuable.","Growth and immune-response loci are often studied in Boer goats because of their strong adaptation and carcass traits.","boer goat.jpeg"
"goat_angora","goat","Angora","Anatolia","Turkey",39.0000,35.0000,"Fiber/Wool","Heat tolerant","Mohair fiber production","Angora goats are specialized for mohair and illustrate how humans can strongly redirect a species toward fiber.","Hair-follicle regulation genes underlie the silky fleece that defines the breed.","angorra goat.jpg"
"pig_large_white","pig","Large White","British Isles","United Kingdom",53.0000,-1.5000,"Meat","Cold hardy","Commercial pork breeding","Large White pigs are a cornerstone of modern meat production and crossbreeding programs.","IGF2 and RYR1 are classic pig loci linked with growth, carcass traits, and meat quality.","large white pig.jpg"
"pig_meishan","pig","Meishan","East Asia","China",31.2304,121.4737,"Meat","Heat tolerant","High fertility breeding","Meishan pigs are famous for prolific litters and strong maternal ability.","Fecundity-related loci make Meishan pigs a standard example when discussing reproductive genetics.","meishan pig.JPG"
"pig_yucatan","pig","Yucatan","North America","Mexico",21.1619,-86.8515,"Laboratory Model","Heat tolerant","Biomedical research model","Yucatan minipigs are widely used in translational research because of manageable size and human-relevant physiology.","Their compact body size and well-characterized physiology make them useful in surgery, metabolism, and device-testing studies.","yucatan pig.jpg"
